t,ke,pe,ke_err,pe_err
297,5.30998869e-05,-2.70333674e-06,1.64574008e-01,1.60454944e-01
298,5.30318330e-05,-2.70102729e-06,1.65644707e-01,1.61172164e-01
299,5.29652281e-05,-2.69875670e-06,1.66692608e-01,1.61877315e-01
300,5.29001593e-05,-2.69652713e-06,1.67716343e-01,1.62569728e-01
301,5.28367095e-05,-2.69434064e-06,1.68714604e-01,1.63248764e-01
302,5.27749579e-05,-2.69219916e-06,1.69686149e-01,1.63913817e-01
303,5.27149793e-05,-2.69010456e-06,1.70629799e-01,1.64564314e-01
304,5.26568443e-05,-2.68805857e-06,1.71544443e-01,1.65199716e-01
305,5.26006193e-05,-2.68606281e-06,1.72429036e-01,1.65819516e-01
306,5.25463663e-05,-2.68411880e-06,1.73282604e-01,1.66423244e-01
307,5.24941429e-05,-2.68222795e-06,1.74104241e-01,1.67010466e-01
308,5.24440021e-05,-2.68039154e-06,1.74893110e-01,1.67580780e-01
309,5.23959927e-05,-2.67861074e-06,1.75648448e-01,1.68133822e-01
310,5.23501585e-05,-2.67688662e-06,1.76369562e-01,1.68669264e-01
311,5.23065392e-05,-2.67522011e-06,1.77055829e-01,1.69186813e-01
312,5.22651695e-05,-2.67361203e-06,1.77706702e-01,1.69686215e-01
313,5.22260799e-05,-2.67206311e-06,1.78321703e-01,1.70167247e-01
314,5.21892959e-05,-2.67057392e-06,1.78900429e-01,1.70629729e-01
315,5.21548387e-05,-2.66914494e-06,1.79442547e-01,1.71073511e-01
316,5.21227248e-05,-2.66777652e-06,1.79947800e-01,1.71498484e-01
317,5.20929659e-05,-2.66646892e-06,1.80415999e-01,1.71904573e-01
318,5.20655694e-05,-2.66522224e-06,1.80847031e-01,1.72291738e-01
319,5.20405381e-05,-2.66403651e-06,1.81240851e-01,1.72659978e-01
320,5.20178701e-05,-2.66291161e-06,1.81597490e-01,1.73009325e-01
321,5.19975591e-05,-2.66184733e-06,1.81917045e-01,1.73339847e-01
322,5.19795943e-05,-2.66084333e-06,1.82199687e-01,1.73651648e-01
323,5.19639605e-05,-2.65989917e-06,1.82445655e-01,1.73944864e-01
324,5.19506381e-05,-2.65901430e-06,1.82655258e-01,1.74219668e-01
325,5.19396031e-05,-2.65818806e-06,1.82828872e-01,1.74476266e-01
326,5.19308273e-05,-2.65741966e-06,1.82966942e-01,1.74714899e-01
327,5.19242782e-05,-2.65670824e-06,1.83069980e-01,1.74935837e-01
328,5.19199191e-05,-2.65605280e-06,1.83138562e-01,1.75139388e-01
329,5.19177093e-05,-2.65545228e-06,1.83173329e-01,1.75325887e-01
330,5.19176039e-05,-2.65490547e-06,1.83174988e-01,1.75495704e-01
331,5.19195541e-05,-2.65441109e-06,1.83144304e-01,1.75649238e-01
332,5.19235074e-05,-2.65396775e-06,1.83082108e-01,1.75786919e-01
333,5.19294071e-05,-2.65357399e-06,1.82989287e-01,1.75909205e-01
334,5.19371931e-05,-2.65322823e-06,1.82866789e-01,1.76016584e-01
335,5.19468016e-05,-2.65292881e-06,1.82715617e-01,1.76109573e-01
336,5.19581654e-05,-2.65267397e-06,1.82536829e-01,1.76188714e-01
337,5.19712137e-05,-2.65246190e-06,1.82331539e-01,1.76254576e-01
338,5.19858725e-05,-2.65229067e-06,1.82100912e-01,1.76307753e-01
339,5.20020645e-05,-2.65215828e-06,1.81846160e-01,1.76348865e-01
340,5.20197097e-05,-2.65206269e-06,1.81568546e-01,1.76378554e-01
341,5.20387249e-05,-2.65200173e-06,1.81269379e-01,1.76397483e-01
342,5.20590241e-05,-2.65197322e-06,1.80950010e-01,1.76406339e-01
343,5.20805188e-05,-2.65197486e-06,1.80611831e-01,1.76405828e-01
344,5.21031180e-05,-2.65200434e-06,1.80256276e-01,1.76396674e-01
345,5.21267283e-05,-2.65205926e-06,1.79884812e-01,1.76379619e-01
346,5.21512543e-05,-2.65213718e-06,1.79498941e-01,1.76355421e-01
347,5.21765985e-05,-2.65223560e-06,1.79100198e-01,1.76324854e-01
348,5.22026617e-05,-2.65235201e-06,1.78690144e-01,1.76288703e-01
349,5.22293429e-05,-2.65248382e-06,1.78270366e-01,1.76247769e-01
350,5.22565399e-05,-2.65262843e-06,1.77842473e-01,1.76202858e-01
351,5.22841491e-05,-2.65278321e-06,1.77408095e-01,1.76154790e-01
352,5.23120660e-05,-2.65294550e-06,1.76968875e-01,1.76104389e-01
353,5.23401852e-05,-2.65311263e-06,1.76526472e-01,1.76052485e-01
354,5.23684009e-05,-2.65328191e-06,1.76082552e-01,1.75999913e-01
